region,temp_metric,n_stations,n_valid_trends,mean_trend,median_trend,std_trend,sem_trend,min_trend,max_trend,n_significant,n_sig_positive,pct_sig_positive,ttest_statistic,ttest_pvalue,trend_different_from_zero
Northeast,max,137,106,0.018173262951862907,0.01174786130667545,0.08449995978456912,0.008246351691790912,-0.2027498596069016,0.2822686314809517,87,49,46.22641509433962,2.2037943118475107,0.029722584604590627,True
Southeast,max,323,287,0.02052708895875899,0.0186954394098627,0.08158372960956575,0.0048241470629157785,-0.1823731356525364,0.2909436585787696,231,140,48.78048780487805,4.255071143364387,2.8353735313630254e-05,True
Midwest,max,323,275,0.02627288085584774,0.0314007873507869,0.07095915152754666,0.004286799116175471,-0.177034897337766,0.2123344635996627,230,154,56.0,6.1287875041104005,3.0724432053217376e-09,True
South,max,89,58,0.02622468722766533,0.032041704665528,0.09290744776338147,0.012305892077492908,-0.2483701815556841,0.2496331285163899,41,30,51.724137931034484,2.131067545735222,0.03740920980850415,True
Southwest,max,134,93,0.07499769865117466,0.0718702682634155,0.13337683252393992,0.013905496041258965,-0.3760302749127067,0.4683611744312371,80,61,65.59139784946237,5.393385351277594,5.326907441537473e-07,True
Northwest,max,178,107,0.04816147593029705,0.0521338072470258,0.0968446758647267,0.00940638645119808,-0.2822326177269754,0.2764539797591188,89,66,61.6822429906542,5.120082635363421,1.373826824273829e-06,True
West,max,33,27,0.04420908643621792,0.0169118721142903,0.12234759735411543,0.02399433793653183,-0.2010097718692717,0.4083194956542446,18,12,44.44444444444444,1.8424799447751692,0.07683729258951098,False
