region,temp_metric,n_stations,n_valid_trends,mean_trend,median_trend,std_trend,sem_trend,min_trend,max_trend,n_significant,n_sig_positive,pct_sig_positive,ttest_statistic,ttest_pvalue,trend_different_from_zero
Northeast,min,137,106,0.038895121853200536,0.0260664183334109,0.10729430586626977,0.01047085209218549,-0.3797394466744954,0.3338174830501073,84,56,52.83018867924528,3.714609041438794,0.0003280426337155178,True
Southeast,min,323,287,0.026835827576341672,0.0267987124805756,0.09946875972294485,0.005881711063783688,-0.3225725663654985,0.300043707975205,236,148,51.56794425087108,4.562588553793776,7.506689915279323e-06,True
Midwest,min,323,275,0.005496972170840507,0.0017559053534909,0.07902075175683199,0.004773818196786159,-0.2221591421495161,0.283490770795213,213,107,38.90909090909091,1.1514833502752975,0.25053721892149067,False
South,min,89,58,-0.012456278903036114,-0.00382536120694365,0.10590650299762502,0.014027659004396039,-0.2216872392515688,0.2522965638816232,45,21,36.206896551724135,-0.8879798759816246,0.3782834012723634,False
Southwest,min,134,90,-0.04910670627749218,-0.061353000521317994,0.15022854354619875,0.01592419376754138,-0.3951489518590013,0.4160130711652428,77,26,28.88888888888889,-3.083779750130108,0.002722090957221923,True
Northwest,min,178,108,-0.005646363537363504,-0.0104773250061878,0.13466484293128897,0.013018541745328004,-0.3215458093271651,0.3200047098061143,94,46,42.592592592592595,-0.4337170512503697,0.6653671217574004,False
West,min,33,26,-0.03377454004484346,-0.04672127919479675,0.11924839915917589,0.023849679831835183,-0.303297508519106,0.1505809666635153,24,10,38.46153846153846,-1.416142282956785,0.16907343221574306,False
