year,max_stations,min_stations,avg_stations,max_completeness,min_completeness,avg_completeness,total_records
1895,1120,1116,1095,0.3279142942762961,0.3255419039057037,0.31797522725002497,40044
1896,1147,1135,1116,0.3259313725490196,0.32595588235294115,0.31830882352941176,40800
1897,1159,1150,1140,0.33043730089777007,0.3279756733275413,0.3243073655758278,41436
1898,1167,1160,1150,0.32984017609340605,0.32737582543784094,0.32349985644559287,41796
1899,1175,1162,1152,0.33151136146648846,0.32826522818407483,0.3248281458850487,41896
1900,1194,1185,1181,0.33057348676209186,0.32690148751052484,0.32442230330246047,42756
1901,1198,1194,1187,0.32925581395348835,0.3268139534883721,0.3238139534883721,43000
1902,1201,1195,1188,0.33174640037157455,0.3300743149094287,0.32749651648862055,43060
1903,1202,1199,1192,0.3311480726464047,0.3299666419570052,0.3272794662713121,43168
1904,1206,1209,1205,0.33068673478781185,0.3317223603056246,0.3292598729632698,43452
1905,1212,1209,1207,0.3321625344352617,0.3319788797061524,0.3303489439853076,43560
1906,1213,1212,1210,0.3322564384566034,0.3324855650261204,0.3313628448354871,43644
1907,1216,1214,1214,0.3321444901691815,0.33225880201188845,0.33136716963877455,43740
1908,1218,1216,1216,0.33273233522001094,0.33261822165419025,0.332093299251415,43816
1909,1218,1217,1217,0.33317364723058673,0.3328086504243088,0.332763025823524,43836
1910,1218,1217,1217,0.33331052103294095,0.3330367734282325,0.33299114882744774,43836
1911,1218,1218,1218,0.33331052727604454,0.3331508848750228,0.3331508848750228,43848
1912,1218,1218,1218,0.333166104168567,0.33323451609960775,0.33325732007662134,43852
1913,1218,1218,1218,0.33317369093231164,0.33321930304688924,0.33310527276044516,43848
1914,1217,1218,1217,0.3332420591456736,0.3335158817086528,0.3332420591456736,43824
1915,1217,1218,1217,0.3331204379562044,0.3333485401459854,0.3331888686131387,43840
1916,1217,1218,1217,0.3332192405987587,0.3335158817086528,0.3332192405987587,43824
1917,1218,1218,1218,0.333128078817734,0.33331052727604454,0.333128078817734,43848
